DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_QTY,TOT_SALES,PACK_SIZE,BRAND_NAME,LIFESTAGE,PREMIUM_CUSTOMER
2019-05-20,1,1343,383,61,2,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,4,4149,3333,16,1,5.7,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,7,7215,7176,16,1,5.7,330,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,19,19272,16686,44,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-18,45,45220,41651,22,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,54,54305,48301,44,2,6.6,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,71,71122,69717,40,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,84,84096,83673,47,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,97,97033,96478,33,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-05-17,109,109028,110346,8,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,109,109028,110347,75,2,7.6,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-05-14,110,110013,111797,100,1,2.9,170,Smiths,MIDAGE SINGLES/COUPLES,Budget
2019-05-19,115,115381,118981,29,1,3.0,175,French,MIDAGE SINGLES/COUPLES,Budget
2018-08-20,118,118007,120727,30,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,122,122185,125736,110,2,3.8,200,WW,MIDAGE SINGLES/COUPLES,Budget
2018-08-16,128,128231,132121,28,1,3.3,175,Thins,MIDAGE SINGLES/COUPLES,Budget
2018-08-18,128,128231,132122,33,1,3.8,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-05-20,130,130108,134125,2,5,19.0,110,Cobs,MIDAGE SINGLES/COUPLES,Budget
2019-05-15,133,133250,137666,30,4,17.6,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
2019-05-16,149,149225,148901,77,1,4.4,170,Doritos,MIDAGE SINGLES/COUPLES,Budget
